iter	Passed	Remaining
0	75	113707
1	86	64840
2	108	53955
3	130	48922
4	153	45799
5	178	44390
6	203	43306
7	226	42272
8	250	41441
9	273	40698
10	303	41031
11	330	41019
12	354	40536
13	378	40199
14	400	39604
15	420	39005
16	445	38845
17	469	38696
18	479	37414
19	499	36976
20	523	36850
21	544	36562
22	569	36542
23	591	36388
24	616	36344
25	637	36129
26	659	35996
27	681	35836
28	705	35761
29	729	35725
30	736	34893
31	757	34763
32	788	35046
33	795	34319
34	820	34323
35	846	34425
36	855	33812
37	876	33733
38	899	33703
39	923	33710
40	946	33673
41	970	33683
42	999	33854
43	1023	33856
44	1051	33994
45	1058	33454
46	1079	33371
47	1103	33386
48	1108	32825
49	1132	32854
50	1153	32770
51	1182	32919
52	1209	33018
53	1235	33072
54	1258	33051
55	1284	33122
56	1295	32785
57	1314	32692
58	1338	32693
59	1363	32727
60	1384	32657
61	1406	32624
62	1412	32213
63	1435	32214
64	1461	32258
65	1485	32273
66	1513	32381
67	1537	32388
68	1542	31995
69	1547	31611
70	1571	31622
71	1598	31696
72	1624	31753
73	1650	31799
74	1677	31868
75	1706	31970
76	1710	31615
77	1734	31621
78	1750	31478
79	1771	31438
80	1795	31448
81	1822	31508
82	1841	31438
83	1866	31470
84	1891	31481
85	1915	31486
86	1935	31430
87	1955	31383
88	1978	31373
89	2003	31381
90	2032	31465
91	2059	31513
92	2087	31576
93	2113	31617
94	2138	31623
95	2161	31610
96	2184	31593
97	2208	31596
98	2232	31594
99	2254	31563
100	2277	31540
101	2301	31546
102	2323	31508
103	2328	31252
104	2349	31209
105	2373	31215
106	2394	31172
107	2416	31147
108	2441	31162
109	2464	31148
110	2483	31077
111	2506	31056
112	2526	31012
113	2551	31023
114	2574	31008
115	2580	30792
116	2600	30743
117	2625	30749
118	2649	30750
119	2673	30740
120	2698	30750
121	2722	30755
122	2750	30795
123	2775	30794
124	2805	30860
125	2833	30900
126	2865	30980
127	2894	31024
128	2901	30839
129	2925	30831
130	2950	30834
131	2974	30823
132	2998	30823
133	3024	30830
134	3047	30810
135	3069	30790
136	3089	30737
137	3110	30702
138	3132	30670
139	3136	30470
140	3161	30473
141	3185	30465
142	3206	30429
143	3229	30414
144	3252	30395
145	3273	30358
146	3296	30340
147	3319	30325
148	3341	30294
149	3365	30290
150	3390	30293
151	3417	30309
152	3444	30321
